trade_leg_key,trade_key,source_leg_strip_cd,trade_txn_cd,trade_txn_key,period_start_date,period_end_date,refreshed_dt,commodity_id,buy_sell_ind,legal_agreement_3_key,legal_agreement_4_key,legal_agreement_5_key,gtc_legal_agreement_key,netting_3_flag,netting_4_flag,netting_5_flag,chain_key,csa_ind,derivative_product_cd,credit_rights_amd_ind,pay_price,pay_price_uom_cd,pay_price_currency_cd,pay_start_dt,pay_end_dt,pay_calendar_cd,pay_trade_event_cd,pay_from_after_ind,pay_offset_month_cd,pay_sett_on_day_of_mth_num,pay_offset_from_event,pay_split_pre_next_ind,pay_split_pre_next_adt,pay_cal_work_day_ind,pay_fixed_settlement_dt,pay_fixed_settlement_adt,pay_pricing_term_cd,pay_curve_key,receive_price,receive_currency_cd,receive_uom_cd,receive_start_dt,receive_end_dt,receive_curve_key,receive_pricing_term_cd,contract_quantity_amt,contract_quantity_uom_cd,valuation_quantity_amt,valuation_quantity_uom_cd,mtm_value_amt,mtm_value_currency_cd,settlement_value_amt,settlement_value_currency_cd,payment_due_date,price_settle_frequency_cd,invoice_dt,return_exposure_ind,no_exp_return_reason_cd,src_leg_last_updt_dtm,payment_security_cd,source_valuation_dt,create_dtm,last_updt_dtm,create_user_id,update_user_id,delete_flag,indexing_basis_cd,deal_formula_txt,market_formula_txt,chain_number
491213968,175052750,1,A170004577_1,027_A170004577_1,2022-01-04T00:00:00.000+0000,2022-01-31T00:00:00.000+0000,2021-10-19T23:20:07.000+0000,-1,S,100535,null,null,-2,Y,N,N,1571,N,1010003061000071,null,54,BBL,USD,null,null,NEW YORK,1010003054000001,A,null,null,14,N,027,C,null,027,FIXED,null,82,USD,BBL,2022-01-04T00:00:00.000+0000,2022-01-31T00:00:00.000+0000,null,FLOAT,25000,BBL,25000,BBL,-698275,USD,-698275,USD,2022-02-14T00:00:00.000+0000,null,null,Y,null,null,1010003003000190,2021-10-19T21:12:56.000+0000,2017-05-03T04:33:33.000+0000,2019-11-03T22:09:57.000+0000,m_TCT_CDS_DEAL_LEGS,m_TCT_CDS_DEAL_LEG,N,null,null,<priceset><priceline><pricingLineNumber>1</pricingLineNumber><seriesDefinition>CL.E.70062</seriesDefinition><percentageWeight>100.0</percentageWeight><rollEarlyOrExclude>1</rollEarlyOrExclude></priceline></priceset>,2
491214006,175052750,2,A170004577_2,027_A170004577_2,2022-02-01T00:00:00.000+0000,2022-02-28T00:00:00.000+0000,2021-10-19T23:20:07.000+0000,-1,S,100535,null,null,-2,Y,N,N,1571,N,1010003061000071,null,54,BBL,USD,null,null,NEW YORK,1010003054000001,A,null,null,14,N,027,C,null,027,FIXED,null,81,USD,BBL,2022-02-01T00:00:00.000+0000,2022-02-28T00:00:00.000+0000,null,FLOAT,25000,BBL,25000,BBL,-678825,USD,-678825,USD,2022-03-14T00:00:00.000+0000,null,null,Y,null,null,1010003003000190,2021-10-19T21:12:55.000+0000,2017-05-03T04:33:33.000+0000,2019-11-03T22:09:57.000+0000,m_TCT_CDS_DEAL_LEGS,m_TCT_CDS_DEAL_LEG,N,null,null,<priceset><priceline><pricingLineNumber>1</pricingLineNumber><seriesDefinition>CL.E.70062</seriesDefinition><percentageWeight>100.0</percentageWeight><rollEarlyOrExclude>1</rollEarlyOrExclude></priceline></priceset>,2
491214009,175052750,3,A170004577_3,027_A170004577_3,2022-03-01T00:00:00.000+0000,2022-03-31T00:00:00.000+0000,2021-10-19T23:20:07.000+0000,-1,S,100535,null,null,-2,Y,N,N,1571,N,1010003061000071,null,54,BBL,USD,null,null,NEW YORK,1010003054000001,A,null,null,14,N,027,C,null,027,FIXED,null,81,USD,BBL,2022-03-01T00:00:00.000+0000,2022-03-31T00:00:00.000+0000,null,FLOAT,25000,BBL,25000,BBL,-660475,USD,-660475,USD,2022-04-14T00:00:00.000+0000,null,null,Y,null,null,1010003003000190,2021-10-19T21:13:00.000+0000,2017-05-03T04:33:33.000+0000,2019-11-03T22:09:57.000+0000,m_TCT_CDS_DEAL_LEGS,m_TCT_CDS_DEAL_LEG,N,null,null,<priceset><priceline><pricingLineNumber>1</pricingLineNumber><seriesDefinition>CL.E.70062</seriesDefinition><percentageWeight>100.0</percentageWeight><rollEarlyOrExclude>1</rollEarlyOrExclude></priceline></priceset>,2
491214012,175052751,1,A170004585_1,027_A170004585_1,2022-04-01T00:00:00.000+0000,2022-04-29T00:00:00.000+0000,2021-10-19T23:20:07.000+0000,-1,S,100535,null,null,-2,Y,N,N,1571,N,1010003061000071,null,54,BBL,USD,null,null,NEW YORK,1010003054000001,A,null,null,14,N,027,C,null,027,FIXED,null,80,USD,BBL,2022-04-01T00:00:00.000+0000,2022-04-29T00:00:00.000+0000,null,FLOAT,25000,BBL,25000,BBL,-639125,USD,-639125,USD,2022-05-13T00:00:00.000+0000,null,null,Y,null,null,1010003003000190,2021-10-19T21:12:53.000+0000,2017-05-04T04:38:09.000+0000,2019-11-03T22:09:57.000+0000,m_TCT_CDS_DEAL_LEGS,m_TCT_CDS_DEAL_LEG,N,null,null,<priceset><priceline><pricingLineNumber>1</pricingLineNumber><seriesDefinition>CL.E.70062</seriesDefinition><percentageWeight>100.0</percentageWeight><rollEarlyOrExclude>1</rollEarlyOrExclude></priceline></priceset>,2
491214014,175052751,2,A170004585_2,027_A170004585_2,2022-05-02T00:00:00.000+0000,2022-05-31T00:00:00.000+0000,2021-10-19T23:20:07.000+0000,-1,S,100535,null,null,-2,Y,N,N,1571,N,1010003061000071,null,54,BBL,USD,null,null,NEW YORK,1010003054000001,A,null,null,14,N,027,C,null,027,FIXED,null,79,USD,BBL,2022-05-02T00:00:00.000+0000,2022-05-31T00:00:00.000+0000,null,FLOAT,25000,BBL,25000,BBL,-621750,USD,-621750,USD,2022-06-14T00:00:00.000+0000,null,null,Y,null,null,1010003003000190,2021-10-19T21:12:25.000+0000,2017-05-04T04:38:09.000+0000,2019-11-03T22:09:57.000+0000,m_TCT_CDS_DEAL_LEGS,m_TCT_CDS_DEAL_LEG,N,null,null,<priceset><priceline><pricingLineNumber>1</pricingLineNumber><seriesDefinition>CL.E.70062</seriesDefinition><percentageWeight>100.0</percentageWeight><rollEarlyOrExclude>1</rollEarlyOrExclude></priceline></priceset>,2
491214017,175052751,3,A170004585_3,027_A170004585_3,2022-06-01T00:00:00.000+0000,2022-06-30T00:00:00.000+0000,2021-10-19T23:20:07.000+0000,-1,S,100535,null,null,-2,Y,N,N,1571,N,1010003061000071,null,54,BBL,USD,null,null,NEW YORK,1010003054000001,A,null,null,14,N,027,C,null,027,FIXED,null,79,USD,BBL,2022-06-01T00:00:00.000+0000,2022-06-30T00:00:00.000+0000,null,FLOAT,25000,BBL,25000,BBL,-605250,USD,-605250,USD,2022-07-14T00:00:00.000+0000,null,null,Y,null,null,1010003003000190,2021-10-19T21:12:40.000+0000,2017-05-04T04:38:09.000+0000,2019-11-03T22:09:57.000+0000,m_TCT_CDS_DEAL_LEGS,m_TCT_CDS_DEAL_LEG,N,null,null,<priceset><priceline><pricingLineNumber>1</pricingLineNumber><seriesDefinition>CL.E.70062</seriesDefinition><percentageWeight>100.0</percentageWeight><rollEarlyOrExclude>1</rollEarlyOrExclude></priceline></priceset>,2
491214020,175052762,1,A170004656_1,027_A170004656_1,2022-04-01T00:00:00.000+0000,2022-04-29T00:00:00.000+0000,2021-10-19T23:20:07.000+0000,-1,S,100535,null,null,-2,Y,N,N,1571,N,1010003061000071,null,54,BBL,USD,null,null,NEW YORK,1010003054000001,A,null,null,14,N,027,C,null,027,FIXED,null,80,USD,BBL,2022-04-01T00:00:00.000+0000,2022-04-29T00:00:00.000+0000,null,FLOAT,50000,BBL,50000,BBL,-1284250,USD,-1284250,USD,2022-05-13T00:00:00.000+0000,null,null,Y,null,null,1010003003000190,2021-10-19T21:12:44.000+0000,2017-05-05T04:42:55.000+0000,2019-11-03T22:09:57.000+0000,m_TCT_CDS_DEAL_LEGS,m_TCT_CDS_DEAL_LEG,N,null,null,<priceset><priceline><pricingLineNumber>1</pricingLineNumber><seriesDefinition>CL.E.70062</seriesDefinition><percentageWeight>100.0</percentageWeight><rollEarlyOrExclude>1</rollEarlyOrExclude></priceline></priceset>,2
491214022,175052762,2,A170004656_2,027_A170004656_2,2022-05-02T00:00:00.000+0000,2022-05-31T00:00:00.000+0000,2021-10-19T23:20:07.000+0000,-1,S,100535,null,null,-2,Y,N,N,1571,N,1010003061000071,null,54,BBL,USD,null,null,NEW YORK,1010003054000001,A,null,null,14,N,027,C,null,027,FIXED,null,79,USD,BBL,2022-05-02T00:00:00.000+0000,2022-05-31T00:00:00.000+0000,null,FLOAT,50000,BBL,50000,BBL,-1249500,USD,-1249500,USD,2022-06-14T00:00:00.000+0000,null,null,Y,null,null,1010003003000190,2021-10-19T21:12:46.000+0000,2017-05-05T04:42:55.000+0000,2019-11-03T22:09:57.000+0000,m_TCT_CDS_DEAL_LEGS,m_TCT_CDS_DEAL_LEG,N,null,null,<priceset><priceline><pricingLineNumber>1</pricingLineNumber><seriesDefinition>CL.E.70062</seriesDefinition><percentageWeight>100.0</percentageWeight><rollEarlyOrExclude>1</rollEarlyOrExclude></priceline></priceset>,2
491214024,175052762,3,A170004656_3,027_A170004656_3,2022-06-01T00:00:00.000+0000,2022-06-30T00:00:00.000+0000,2021-10-19T23:20:07.000+0000,-1,S,100535,null,null,-2,Y,N,N,1571,N,1010003061000071,null,54,BBL,USD,null,null,NEW YORK,1010003054000001,A,null,null,14,N,027,C,null,027,FIXED,null,79,USD,BBL,2022-06-01T00:00:00.000+0000,2022-06-30T00:00:00.000+0000,null,FLOAT,50000,BBL,50000,BBL,-1216500,USD,-1216500,USD,2022-07-14T00:00:00.000+0000,null,null,Y,null,null,1010003003000190,2021-10-19T21:12:24.000+0000,2017-05-05T04:42:55.000+0000,2019-11-03T22:09:57.000+0000,m_TCT_CDS_DEAL_LEGS,m_TCT_CDS_DEAL_LEG,N,null,null,<priceset><priceline><pricingLineNumber>1</pricingLineNumber><seriesDefinition>CL.E.70062</seriesDefinition><percentageWeight>100.0</percentageWeight><rollEarlyOrExclude>1</rollEarlyOrExclude></priceline></priceset>,2
491214027,175052763,1,A170004657_1,027_A170004657_1,2022-04-01T00:00:00.000+0000,2022-04-29T00:00:00.000+0000,2021-10-19T23:20:07.000+0000,-1,S,100535,null,null,-2,Y,N,N,1571,N,1010003061000071,null,54,BBL,USD,null,null,NEW YORK,1010003054000001,A,null,null,14,N,027,C,null,027,FIXED,null,80,USD,BBL,2022-04-01T00:00:00.000+0000,2022-04-29T00:00:00.000+0000,null,FLOAT,50000,BBL,50000,BBL,-1299250,USD,-1299250,USD,2022-05-13T00:00:00.000+0000,null,null,Y,null,null,1010003003000190,2021-10-19T21:12:35.000+0000,2017-05-05T04:42:55.000+0000,2019-11-03T22:09:57.000+0000,m_TCT_CDS_DEAL_LEGS,m_TCT_CDS_DEAL_LEG,N,null,null,<priceset><priceline><pricingLineNumber>1</pricingLineNumber><seriesDefinition>CL.E.70062</seriesDefinition><percentageWeight>100.0</percentageWeight><rollEarlyOrExclude>1</rollEarlyOrExclude></priceline></priceset>,2
